name,address,city,state,category,yelp_url
Serpentine,2495 3rd St,San Francisco,CA,American,http://www.yelp.com/biz/serpentine-san-francisco
Frances,3870 17th St,San Francisco,CA,American,http://www.yelp.com/biz/frances-san-francisco
Izakaya Sozai,1500 Irving St,San Francisco,CA,Japanese,http://www.yelp.com/biz/izakaya-sozai-san-francisco
Kusakabe,584 Washington St,San Francisco,CA,Japanese,http://www.yelp.com/biz/kusakabe-san-francisco
Public House,830 Kline St,San Diego,CA,Burgers,http://www.yelp.com/biz/public-house-san-diego
Bohemian,57 Great Jones St,New York,NY,Japanese,http://www.yelp.com/biz/public-house-san-diego
Mari Vanna,41 E 20th St,New York,NY,Russian,http://www.yelp.com/biz/mari-vanna-new-york-2
Spruce,3640 Sacramento St,San Francisco,CA,American,http://www.yelp.com/biz/spruce-san-francisco
Tra Vigne,1050 Charter Oak Ave,St Helena,CA,Italian,http://www.yelp.com/biz/tra-vigne-restaurant-saint-helena
Sol Bar,755 Silverada Trail,Calistoga,CA,American,http://www.yelp.com/biz/solbar-calistoga
